,budget,genres,id,imdb_id,popularity,release_date,revenue,runtime,title,vote_average,vote_count
4092,70000000,['Drama'],9422,tt0120633,7.08,1998-12-25,56702901,115.0,A Civil Action,6.4,208
4093,74000000,"['Family', 'Animation', 'Adventure', 'Comedy']",211672,tt2293640,14.139,2015-06-17,1156730962,91.0,Minions,6.4,7779
4094,0,"['Science Fiction', 'Horror', 'Thriller']",430231,tt3986820,9.81,2018-04-06,956425,112.0,The Endless,6.4,437
4095,550000,['Horror'],4488,tt0080761,13.478,1980-05-09,59754601,95.0,Friday the 13th,6.3,1466
4096,62000000,"['Action', 'Drama', 'Thriller', 'War']",3536,tt0141926,11.156,2000-04-20,127666415,116.0,U-571,6.3,611
4097,0,"['Horror', 'Thriller']",396493,tt3654796,6.033,2017-10-06,0,78.0,Creep 2,6.3,347
4098,0,['Comedy'],490445,tt8098548,5.581,2018-04-18,0,95.0,Dumped,6.3,215
4099,155000000,"['Adventure', 'Family', 'Fantasy']",10140,tt0980970,22.547,2010-08-13,415686217,113.0,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3636
4100,0,"['Horror', 'Adventure', 'Mystery', 'Animation', 'Action', 'Science Fiction']",400136,tt5776208,11.434,2017-05-27,0,97.0,Resident Evil: Vendetta,6.3,398
4101,120000000,"['Action', 'Science Fiction', 'Adventure', 'Fantasy']",76170,tt1430132,4.574,2013-07-23,415440673,126.0,The Wolverine,6.3,6674
4102,40000000,"['Drama', 'Action', 'Thriller', 'Crime']",7461,tt0443274,12.217,2008-02-01,151161491,90.0,Vantage Point,6.3,1249
4103,10000000,"['Fantasy', 'Animation', 'Comedy', 'Family']",11114,tt0076538,7.169,1977-11-03,0,128.0,Pete's Dragon,6.3,405
4104,4000000,"['Comedy', 'Drama', 'Romance']",1809,tt0292644,9.005,2002-10-11,0,111.0,The Rules of Attraction,6.3,304
4105,45000000,"['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",346685,tt3631112,10.668,2016-10-05,173185859,112.0,The Girl on the Train,6.3,3920
4106,70000000,"['Action', 'Adventure', 'Thriller']",9350,tt0106582,15.401,1993-05-28,255000211,112.0,Cliffhanger,6.3,1217
4107,1000000,"['Adventure', 'Drama', 'Science Fiction']",811,tt0067756,6.537,1972-03-09,0,89.0,Silent Running,6.3,293
4108,0,"['Comedy', 'Drama']",415401,tt5814592,8.477,2017-09-13,3300000,71.0,The Party,6.3,284
4109,60000000,"['Drama', 'Thriller', 'Science Fiction']",39538,tt1598778,27.934,2011-09-08,137551594,106.0,Contagion,6.3,2485
4110,40000000,"['Action', 'Thriller', 'Crime']",27582,tt0472399,17.388,2011-01-13,51070807,93.0,The Mechanic,6.3,1887
4111,0,['Comedy'],306943,tt2597760,7.75,2017-04-14,0,95.0,The Outcasts,6.3,366
